Timestamp,Your Age Range,Your Gender,What is your position in a School/Academy/Trust?,How many years experience do you have in education?,What is your interest in Artificial Intelligence and its use in education?,Which of the following options is the most appropriate explanation of AI as of today?,Which of the following options is the most appropriate explanation of what AI can do as of today?,Which of the following options is the most appropriate explanation of who AI developers are as of today?,Do you agree or disagree that artificial intelligence could be helpful in education?,If AI was to be used to support decisions made by teachers in the classroom about individual students would you trust it? (An example would be whether a student would be likely to pass or achieve their target grade),Is there any particular reason for your judgement above?,"If you were provided a reason for this prediction (e.g low attendance, poor behaviour) would you be more likely to trust this prediction?",Is there any particular reason for your judgement above?,There are two options of how AI can be explainable to an end user. Which do you feel is more valuable as a leader or teacher?,Phase of Education,Diff
3/16/2022 13:13:17,,,Head of Department,10-14,5,is a field that aims to collect data,Language understanding and problem-solving,Information researchers and scientists,Strongly agree,4,It would make the best suggestion of the outcome but might a human would need to make the final decision. ,4,As above,Local: Shows the approximate reasons why an individual prediction was made.,FE,0
3/16/2022 13:42:14,,,EdTech,10-14,4,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Information researchers and scientists,Agree,4,Would want to know the underlying rationale. ,5,Haha! See above. ,Local: Shows the approximate reasons why an individual prediction was made for a student.,N/A,1
3/16/2022 13:53:40,,,Support Staff,15-19,5,is a field that aims to develop intelligent machines,It makes it's own decisions,Information researchers and scientists,Agree,3,Highly contingent on range/quality of input data,3,Devil is in the detail,Global: Shows the important features for the prediction at a group level. In this case the whole student cohort,Secondary,0
3/16/2022 13:59:38,,,Support Staff,10-14,4,is a field that aims to collect data,Language understanding and problem-solving,Information researchers and scientists,Agree,3,"Algorithms will only work from the information fed to them, meaning there's always a human element (garbage in, garbage out scenario)",4,"More time would have been spent being able to verify the decision process, and transparency always offers a degree of protection.",Local: Shows the approximate reasons why an individual prediction was made for a student.,Secondary,1
3/16/2022 14:13:28,,,Director,15-19,4,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Information researchers and scientists,Agree,3,I would judge any AI on it's merits. I'd give it the opportunity to convince me but wouldn't take it at face value without first corroborating the results in a test scheme,4,Contextual explanation would increase my confidence.,Global: Shows the important features for the prediction at a group level. In this case the whole student cohort,3-16 years old,1
3/16/2022 14:15:01,,,Education consultant working for a Google Premier Partner,20+,5,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Information researchers and scientists,Strongly agree,5,it all depends on the data set it works to and developing that is our job so the confidence is based on the AI and human combination,5,Previous answer. the human/machine combination,Local: Shows the approximate reasons why an individual prediction was made for a student.,"Secondary, Sixth Form",0
3/16/2022 15:16:42,,,Support Staff,1-4,3,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Information researchers and scientists,Agree,3,"All the data could point towards an answer but with multiple variables that occur in day to day life , the student could fluke/fail the exam",5,If AI considers all variables then the decision would be better informed hence a higher level of trust however there are still anomalies,Global: Shows the important features for the prediction at a group level. In this case the whole student cohort,"Secondary, Sixth Form",2
3/16/2022 15:16:58,,,Leader,15-19,4,is a field that aims to make humans more intelligent,It makes it's own decisions,Information researchers and scientists,Agree,3,It would depend on how much I trusted the people who had developed the AI,4,,Local: Shows the approximate reasons why an individual prediction was made for a student.,"Secondary, Sixth Form",1
3/16/2022 15:19:00,,,Support Staff,20+,4,is a field that aims to collect data,Language understanding and problem-solving,Information researchers and scientists,Agree,3,Don't feel it as developed as should be and there are snakeoil salesmen purporting to use AI which brings a level of mistrust to the system,4,The 'thinking' behind the judgement is crucial imho,Local: Shows the approximate reasons why an individual prediction was made for a student.,"Primary, Secondary",1
3/16/2022 15:31:17,,,Support Staff,5-9,3,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Everyone can do it using their phone,Neutral,2,To a certain extent this is already been done with data from FFT which looks at students demographic backgrounds for target setting.  Certainly historical data patterns of past accuracy of prediction and ATL can all be stored and put in an algorithm.  I think the problem would come down to the accuracy of the data input by the teacher in the first place - certainly for subjective information like ATL and HW this is subjective and even in schools where good guidance has been given there are discrepancies within subject areas.   Also when analysing our reward and conduct and minutes late - it is clear that there are discrepancies with the way data is entered.,4,Providing a reason for the prediction allows for human verification of the assumptions being made.,Global: Shows the important features for the prediction at a group level. In this case the whole student cohort,Secondary,2
3/16/2022 15:48:22,,,Teacher,10-14,1,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Everyone can do it using their phone,Strongly disagree,1,,4,,Local: Shows the approximate reasons why an individual prediction was made for a student.,Secondary,3
3/16/2022 15:51:21,,,Leader,15-19,3,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Information researchers and scientists,Agree,3,,4,,Local: Shows the approximate reasons why an individual prediction was made for a student.,Secondary,1
3/16/2022 15:56:24,,,Teacher,10-14,1,is a field that aims to collect data,Language understanding and problem-solving,The government,Strongly disagree,1,Education is a people business ,1,As above ,Global: Shows the important features for the prediction at a group level. In this case the whole student cohort,Sixth Form,0
3/16/2022 16:36:58,,,Chair of Governors ,5-9,5,is a field that aims to develop intelligent machines,Language understanding and problem-solving,Everyone can do it using their phone,Strongly agree,4,"It would have to be tested to get approved for classroom use, but it could be really useful, particularly for those children not able to access normal school",4,No,Local: Shows the approximate reasons why an individual prediction was made for a student.,"Primary, Secondary, Sixth Form",0
3/16/2022 16:43:32,,,"Teacher, Head of Department",10-14,3,is a field that aims to develop intelligent machines,It makes it's own decisions,Everyone can do it using their phone,Agree,3,Nuance ,4,Might think of things I miss,Local: Shows the approximate reasons why an individual prediction was made for a student.,Primary,1
3/16/2022 16:45:51,,,"Teacher, Head of Department, Leader",10-14,5,is a field that aims to develop intelligent machines,Language understanding and problem-solving,The government,Agree,3,Knowledge of students.,4,,Local: Shows the approximate reasons why an individual prediction was made for a student.,Secondary,1
3/16/2022 16:47:35,,,Leader,10-14,5,is a field that aims to develop intelligent machines,It makes it's own decisions,Information researchers and scientists,Strongly agree,3,I would argue that I am neutral until I can see data that shows it to be effective and that a particular form of AI works to do this.,4,"If it was an evidence informed decision I would be more likely to trust it, even if the computer made the determination.",Local: Shows the approximate reasons why an individual prediction was made for a student.,Secondary,1
