Index,EAL,Gender,MedicalFlag,PPIndicator,SafeGuarding,SENIndicator,DistanceKm,LatePercentage,PresentIncludingLatePercentage,AbsencePercentage,StartedLate,Positive,Negative,FIXD,PERM,monthborn,DfE main .1,Achieve_Target
2750,False,M,False,True,False,True,5,0,100,0,False,134,13,0,0,12,WBRI,True
17708,False,M,False,False,False,True,4,0,98.01,1.99,False,96,13,0,0,11,WBRI,True
23540,False,M,True,True,False,True,7,0.69,83.33,16.67,True,64,1,0,0,8,MWBC,True
24081,False,M,False,False,False,True,5,0,100,0,False,600,13,16,0,6,BCRB,True
26371,False,M,False,False,False,True,4,6.25,88.89,11.11,False,46,3,0,0,6,BOTH,False
24055,False,M,False,False,False,True,4,2.4,63.2,36.8,False,451,22,10,0,12,BCRB,True
24079,False,M,False,True,False,True,3,20.14,87.5,12.5,False,34,1,0,0,12,BCRB,True
24076,False,M,False,False,False,True,5,1.39,58.33,41.67,False,23,6,0,0,6,BCRB,False
26280,False,M,False,True,False,True,3,19.44,97.22,2.78,True,21,4,0,0,1,BOTH,False
13198,False,M,True,True,False,True,3,0,79.86,20.14,True,186,2,0,0,8,WBRI,False
13202,False,M,False,True,False,True,11,0,100,0,False,163,0,0,0,12,WBRI,True
6106,False,M,False,False,False,False,1,0,95.95,4.05,False,162,0,0,0,11,WBRI,False
6129,False,F,False,False,False,False,2,0,97.3,2.7,False,160,0,0,0,7,WBRI,True
6152,False,F,False,False,False,False,2,0,98.65,1.35,False,160,0,0,0,3,WBRI,False
6211,False,M,False,False,False,False,1,0,95.95,4.05,False,160,0,0,0,1,WBRI,False
18388,False,F,False,True,False,False,2,0,93.24,6.76,False,160,0,0,0,6,AIND,False
21571,True,M,False,False,False,False,6,0,97.97,2.03,False,160,0,0,0,2,WOTH,True
21646,True,M,False,False,False,False,3,0,95.95,4.05,True,160,0,0,0,6,WOTH,True
27520,False,F,False,False,False,False,5,0,100,0,False,160,0,0,0,6,BOTH,True
6138,False,F,False,False,False,False,0,0.68,97.3,2.7,False,160,0,0,0,2,WBRI,True
18387,True,F,False,False,False,False,2,0.68,100,0,False,160,0,0,0,2,AIND,True
18734,False,F,False,False,False,False,3,0.68,95.27,4.73,False,160,0,0,0,12,MWBA,True
21954,True,F,False,False,False,False,2,0.68,97.3,2.7,False,160,0,0,0,12,AOTH,True
